,tier,reward,position
160,1,0.006764895,0.70873916
161,1,-0.015683141,0.89468867
162,1,-0.010534708,0.30306166
163,1,0.000431943,0.65479463
164,1,0.00438678,0.60723853
165,1,-0.002041229,1
166,2,-0.019983768,1
167,2,-0.003083229,1
168,2,-0.00176904,0.84889996
169,0,-0.010638545,0.042038243
170,3,-0.000698546,0.63964695
171,0,-0.010551689,0.56227595
172,2,-0.02684511,-0.11099214
173,3,-0.002898139,-0.21863891
174,1,0.003060302,-0.45844987
175,1,-0.008849046,0.9954391
176,2,-0.020732923,0.894265
177,1,0.005696121,-0.5852747
178,1,-0.017627322,-0.9951882
179,1,-0.002033731,-1
180,1,0.012116437,-0.96261585
181,0,0.029336067,-0.5373347
182,2,0.027595525,-0.05862921
183,2,-0.00014471,-0.5266848
184,1,-0.015029609,-0.6545874
185,1,0.023644755,1
186,1,0.011959113,-0.785686
187,1,-0.021352961,0.80409944
188,1,-0.004705134,1
189,1,-0.006686091,1
190,1,0.009578109,1
191,1,0.022714376,1
192,2,0.026921988,1
193,2,0.064578414,1
194,1,0.004941702,1
195,1,-0.014697731,1
196,1,-0.001561403,1
197,1,0.041759133,1
198,1,0.007200122,1
199,1,0.015112032,0.85088956
200,1,-0.007916251,0.8404542
201,1,-0.020153721,0.5826277
202,1,-0.005178604,0.7911297
203,1,0.004899687,1
204,1,0.032037139,1
205,1,-0.000703354,0.561851
206,1,0.001496991,-0.4014434
207,1,0.008005158,0.09058246
208,0,-0.000912,0.18848139
209,2,-0.004681712,-0.027538143
210,0,-0.000397179,0.056731578
211,2,-0.004723134,-0.88035005
212,2,0.011330084,-1
213,0,0.041796923,-1
214,2,0.070936412,-0.74862295
215,1,-0.031038939,1
216,1,-0.015848279,1
217,1,0.118834257,1
218,1,-0.013747036,1
219,1,-0.002495338,-0.9668348
220,1,0.034920668,-0.8128224
221,1,-0.008809779,-0.8442056
222,1,-0.018820219,-0.014452624
223,1,-9.79E-05,-0.46501526
224,1,0.008373918,-1
225,1,-0.023870485,-0.45403284
226,1,-0.006537236,0.6795221
227,1,-0.012351285,0.8550431
228,1,0.012666069,-0.43902892
229,1,0.000662503,1
230,1,0.035286231,0.25970754
231,1,-0.004327507,1
232,1,0.058495463,-0.3012914
233,1,-0.001506339,-1
234,1,-0.000981808,-1
235,1,0.021582067,-1
236,3,0.054372302,-0.95990664
237,3,0.006100035,-1
238,1,-0.005490184,-1
239,1,0.003959358,-1
240,1,0.002537012,-1
241,1,0.028353691,-1
242,1,-0.031940818,-1
243,1,0.027808905,-1
244,1,-0.008404732,-1
245,1,0.030893087,-1
246,1,0.039462984,-1
247,1,-0.005892387,0.33463958
248,1,0.003494482,1
249,1,0.039585471,1
250,1,0.01041317,1
251,1,-0.005170166,1
252,1,0.013704823,0.8611511
253,3,0.034874217,0.7034978
254,3,-0.006212454,1
255,1,-0.014352202,1
256,2,-0.015530237,0.9945827
257,1,0.03587295,1
258,1,0.023974538,1
259,0,0.01906572,0.84240735
260,1,0.002917151,0.44992274
261,1,0.000813174,0.23354504
262,1,9.98E-05,-0.34596655
263,1,-0.000464818,0.7819994
264,1,0.010946274,0.40679666
265,1,-0.007800043,1
266,1,0.032017589,1
267,1,0.009068929,0.9273788
268,1,-0.000844611,-0.3468733
269,1,-0.000905591,1
270,2,-0.034669936,1
271,2,-0.040178471,0.690919
272,Unknown,-0.00285034,-0.082248375
